,P02con,P02fu,P02ox,P03con,P03fu,P03ox,P07con,P07fu,P07ox,P15con,P15fu,P15ox,P02_Ccon,P02_Cfu,P02_Cox,P03_Ccon,P03_Cfu,P03_Cox,P07_Ccon,P07_Cfu,P07_Cox,P15_Ccon,P15_Cfu,P15_Cox,P02_CPc,P02_CPp1,P02_CPs1,P03_CPc,P03_CPp1,P03_CPs1,P07_CPc,P07_CPp1,P07_CPs1,P15_CPc,P15_CPp1,P15_CPs1
P07_Cox,0.9547658985459243,0.9559459081983152,0.9543317132300865,0.9557932613153429,0.9523851510963568,0.953104663393784,0.9387602868632824,0.9533853661208395,0.9496511351046749,0.948489069005208,0.9320852554286001,0.9425736062758351,0.9610573261169759,0.9713138715539965,0.9709842336796172,0.9762822417355683,0.9706841252774702,0.9609805757786218,0.9882742656295035,0.9797312587472822,1.0,0.9817132035848525,0.9805150893030602,0.9784096847410777,0.965684017105402,0.9616568132195045,0.9625769837313274,0.9582958568956438,0.958457920546685,0.9569811565832828,0.9450974292173465,0.9425167564635778,0.9251161158620087,0.9494702026218198,0.9544726224383414,0.9376466021186866
P15_Ccon,0.9498545258788883,0.9547551087047489,0.9480791583558513,0.948348458809826,0.9504534315654852,0.9513543271807438,0.9420488805226434,0.9446923687960054,0.9424571196921495,0.9508242627292578,0.9358079036073798,0.945315414725904,0.9540967466903686,0.9701248443222518,0.9648156700529699,0.9692251615969297,0.9691778314273891,0.9600770319967111,0.9828325871051796,0.9781238258627764,0.9817132035848525,1.0,0.9823553511697477,0.9874672321690123,0.9627087713899993,0.959417415692325,0.9613869603810488,0.9523513603092674,0.952066055664273,0.9528691095299541,0.944309459881101,0.9417675283246326,0.9259362858112407,0.9526467295164494,0.9579416034966681,0.9423889985541712
P15_Cfu,0.9514975227742137,0.9563922322992402,0.9492577263829473,0.9508626691341675,0.9518584173487242,0.9515136087798357,0.9435395883719252,0.9459695803314612,0.9441129538994145,0.9540914238060882,0.9424936274730796,0.9490922751773264,0.9650127195724817,0.9703062458218892,0.9726611118625955,0.9713621930184893,0.9774843605358672,0.9641518671406194,0.9838240224296729,0.9722596565303635,0.9805150893030602,0.9823553511697477,1.0,0.9788890670368838,0.9655054312041136,0.9639758016433221,0.9628914145012396,0.9536054822606433,0.9536619097534259,0.954723795305808,0.9447523668328689,0.9432359015506991,0.9217690739640435,0.9508119025071453,0.9542859662400974,0.9421263116099236
P15_Cox,0.9408694017769875,0.9461390227846993,0.9392781195607062,0.9387255272602251,0.9413940850793397,0.9412876032128988,0.933077960306693,0.9354754454785363,0.9333155766122871,0.9415939555536558,0.9285407612444746,0.9365102267674812,0.9442944525216432,0.9646599310416192,0.9562515395386291,0.9618214249481236,0.9626976361715703,0.9549965634701054,0.9805686761961763,0.976558840954136,0.9784096847410777,0.9874672321690123,0.9788890670368838,1.0,0.9576166525207156,0.9549810798243772,0.9587254955554078,0.9492922760327203,0.9493209206864337,0.9512958732267673,0.9479052930863945,0.9451172695699177,0.9350287407777769,0.9511022733998667,0.9553960909665549,0.9448775097694249
P02_CPc,0.9696194106825299,0.969097386884019,0.9668204873947122,0.9655443652027056,0.954963287548723,0.9631327243371616,0.9479520207512484,0.9534177765636574,0.953440660496942,0.9585692856584953,0.9433233570577404,0.9539502743685678,0.9648846201142999,0.9481825887262495,0.966847307884666,0.9636185183981246,0.955790074329253,0.9356776879483505,0.9658858229396985,0.9464688283179383,0.965684017105402,0.9627087713899993,0.9655054312041136,0.9576166525207156,1.0,0.9943874972993463,0.9925190366502138,0.9881814766632516,0.9883378026582773,0.9854472533406449,0.9624448539706788,0.9617654902912183,0.9344589220220196,0.9800454963040277,0.982089786650791,0.9604175790696684
P02_CPp1,0.9643984646597408,0.9638851381948178,0.9601999224358478,0.9602704330956534,0.9493617462203475,0.9582585896161143,0.9464516655604701,0.9462376787151355,0.9475888640514707,0.9575066590867118,0.9440751450130007,0.9531966819263723,0.962927508761543,0.9441512764411346,0.9635414477546389,0.958354968707651,0.953692922049463,0.9309839467878711,0.9635422241652959,0.9418481855116587,0.9616568132195045,0.959417415692325,0.9639758016433221,0.9549810798243772,0.9943874972993463,1.0,0.9924462317022662,0.9867159946295253,0.9864147485016035,0.9850279983017016,0.9652687121346006,0.964856305235007,0.9373154484360116,0.9816110850911367,0.980883072516331,0.9637093008544427
P02_CPs1,0.9590439270314081,0.9621233647086801,0.9555653300955703,0.9530250347981377,0.9466079311900166,0.9528334766413324,0.9393200633128229,0.9407825225114637,0.942162773606606,0.9500982342925158,0.9365661188291374,0.9469413020588083,0.9528894663924001,0.9456774899077675,0.9567153037982584,0.9542393106260982,0.9483022191215542,0.9313331754997375,0.9624484275218831,0.9463576896052512,0.9625769837313274,0.9613869603810488,0.9628914145012396,0.9587254955554078,0.9925190366502138,0.9924462317022662,1.0,0.9863547871352055,0.9857613203495346,0.9866848092262469,0.9685426820559933,0.9672053750668782,0.9467348538420102,0.9816019948905061,0.9826072708925109,0.9694122741266461
P03_CPc,0.9569191802601712,0.9541429999009979,0.9569230664034253,0.9558441813460897,0.9408176113541674,0.9489331679384175,0.9333930766773612,0.9447372018411246,0.9437033947474629,0.9428208748903789,0.9257363095814419,0.9384649382148071,0.9501949809557102,0.9377526883787803,0.9540392815404413,0.9567463518709997,0.9418445956910838,0.9255013076771754,0.9573447265648186,0.9389896082404897,0.9582958568956438,0.9523513603092674,0.9536054822606433,0.9492922760327203,0.9881814766632516,0.9867159946295253,0.9863547871352055,1.0,0.996778864155215,0.994826336429046,0.9702752993202537,0.9695688678841942,0.9462066097460774,0.9815389826991987,0.9811054028660255,0.9629231436036447
P03_CPp1,0.9571125065718532,0.9538005850519566,0.9560941841401058,0.9547047434149358,0.9411647160084785,0.9485339349429527,0.9312932786943402,0.9450815278973509,0.9425071080019849,0.9414867850825364,0.9265334253593714,0.9367237195468888,0.9498077671075981,0.9383835625059651,0.954067380085094,0.956150236067918,0.941735718600134,0.9264668793950123,0.9581061034580439,0.9397491927949143,0.958457920546685,0.952066055664273,0.9536619097534259,0.9493209206864337,0.9883378026582773,0.9864147485016035,0.9857613203495346,0.996778864155215,1.0,0.9947457575456359,0.970356945617167,0.9695808374737306,0.9462360438282572,0.9814277960176973,0.9818738701577865,0.9619392952841798
P03_CPs1,0.9472544120710035,0.9485369370899316,0.9473618980555942,0.9449425410217126,0.9349755178364275,0.9405835363251043,0.9256529954549121,0.9354631102542952,0.934039467729566,0.9353008844213561,0.9207746750929119,0.9311702031574971,0.9434118898572885,0.9397334543208307,0.9489605960665661,0.9510044435743592,0.9410187116326824,0.9285992369241859,0.9569170400438347,0.9412007918575874,0.9569811565832828,0.9528691095299541,0.954723795305808,0.9512958732267673,0.9854472533406449,0.9850279983017016,0.9866848092262469,0.994826336429046,0.9947457575456359,1.0,0.9758159677303583,0.9748104075804445,0.9541656615796461,0.9837324516429881,0.9828735905558574,0.9698066899449603
P07_CPc,0.9130750421158891,0.9123576545404567,0.9085849798653443,0.9084096219079393,0.9000350092794123,0.9055329520264047,0.8891699937044787,0.898519428139302,0.8956478065549021,0.9010351832789641,0.8887559323562935,0.8974655843823607,0.9230820953061859,0.9329395828300409,0.9340553443416553,0.9277668489909232,0.9343338102795832,0.9275088946823457,0.9482886237600425,0.9343132427865043,0.9450974292173465,0.944309459881101,0.9447523668328689,0.9479052930863945,0.9624448539706788,0.9652687121346006,0.9685426820559933,0.9702752993202537,0.970356945617167,0.9758159677303583,1.0,0.9966276593463956,0.9787346843115303,0.976289501703464,0.972598085734553,0.9745619537685998
P07_CPp1,0.91395332534454,0.912534010465495,0.9090849095887825,0.909364687572266,0.9004527831920549,0.9060662714870268,0.8903165496132888,0.8993128982620259,0.896472933796609,0.9023669013473855,0.8902410118424244,0.8986327526659829,0.9249114018600226,0.9310672842611214,0.9348346280240925,0.9271625638665277,0.9342373965763358,0.9261473323349336,0.9460630638888907,0.931421627464583,0.9425167564635778,0.9417675283246326,0.9432359015506991,0.9451172695699177,0.9617654902912183,0.964856305235007,0.9672053750668782,0.9695688678841942,0.9695808374737306,0.9748104075804445,0.9966276593463956,1.0,0.9769819117985067,0.9760013590366924,0.9715026226857135,0.9732825226656783
