"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000236031",1.2394251533195,-21.7976204100925,3.75549921476968,-5.80418718352184,6.46789895603118e-09,4.80312083577964e-06
"ENSG00000266256",2.27881766755637,-21.4063523545235,3.69273914339583,-5.7968763899305,6.75614502213669e-09,4.81301180016021e-06
"ENSG00000259351",1.26973497849806,-21.5730144251281,3.75641988059886,-5.74297206138972,9.30290808341979e-09,6.03820754001167e-06
"ENSG00000132185",0.943354113447615,-21.59375083118,3.75794926258504,-5.74615284090503,9.1296789144776e-09,6.03820754001167e-06
"ENSG00000171234",0.943354113447615,-21.59375083118,3.75794926258504,-5.74615284090503,9.1296789144776e-09,6.03820754001167e-06
"ENSG00000236098",1.36756992268472,-21.6028206053311,3.7551420947906,-5.75286368931286,8.77442336987738e-09,6.03820754001167e-06
"ENSG00000280571",1.1539026741375,-21.4299069111088,3.73678853480589,-5.73484603463708,9.7600966417216e-09,6.19723701546531e-06
"ENSG00000251794",1.53029300629163,-21.2882110606938,3.72072310056493,-5.72152522112208,1.05571982174667e-08,6.56073713905887e-06
"ENSG00000279594",1.7582209879448,-20.411684033228,3.5736501907005,-5.7117185353911,1.11840956522663e-08,6.6666339961509e-06
"ENSG00000244668",1.5180202022206,-21.4796003826561,3.75868987387088,-5.71465087661924,1.0992947797795e-08,6.6666339961509e-06
"ENSG00000235330",1.08801424388275,-21.3324619674936,3.73966965721508,-5.70437068588025,1.16773705292429e-08,6.82145276836252e-06
"ENSG00000233820",1.48621942331582,-21.2466661024475,3.73443066034236,-5.68939901015586,1.27487259586126e-08,7.30127034900309e-06
"ENSG00000279852",1.38179603874755,-21.2885834500264,3.75896274762004,-5.66341963976768,1.48385678214091e-08,8.25406338973382e-06
"ENSG00000230290",1.36432941445304,-21.276862681063,3.75795461577362,-5.66182002085804,1.49775869506948e-08,8.25406338973382e-06
"ENSG00000260381",1.00250089384184,-21.1488619417766,3.73977385879845,-5.65511786014021,1.5573936586502e-08,8.42376925589906e-06
"ENSG00000277767",0.982837047828615,-21.0562474603516,3.72701549113754,-5.64962703010523,1.60796325713416e-08,8.53916196624994e-06
"ENSG00000100012",1.00904752544419,-21.2126758643022,3.75786480925808,-5.64487466713584,1.65301624698083e-08,8.62166045389575e-06
"ENSG00000238055",1.41772492485121,-21.0707936727449,3.73686736108745,-5.63862498630757,1.71413381812008e-08,8.78358255432479e-06
"ENSG00000253966",1.86238895213295,-21.0864225685918,3.75030199441238,-5.62259322049498,1.88111996456079e-08,9.47306067670544e-06
"ENSG00000116194",0.810086124693032,-20.9133879339066,3.72730132659825,-5.61086590576067,2.01316719375335e-08,9.94010602028645e-06
"ENSG00000242256",0.842440869065483,-20.9093798919001,3.72821827418444,-5.60841086925739,2.0419281060572e-08,9.94010602028645e-06
"ENSG00000265123",0.886668589481277,-20.8504983689327,3.72696734245567,-5.59449451875113,2.2126545951271e-08,1.05946254777824e-05
"ENSG00000236790",1.45176819235528,-20.8253141844168,3.72845047738041,-5.58551449476369,2.33009351697716e-08,1.09769953941724e-05
"ENSG00000267375",0.756654878252615,-20.9873227301213,3.75997541604482,-5.58177126386593,2.38081361396637e-08,1.10379054026555e-05
"ENSG00000278396",1.71746784642593,-20.9512472151542,3.76212227898035,-5.56899687503847,2.56210080643723e-08,1.16927875553779e-05
"ENSG00000277246",1.47315626142227,-20.9026238485992,3.75550665202321,-5.56585989199043,2.60862785407424e-08,1.17219695941231e-05
"ENSG00000263982",1.60857717709862,-20.8110489363222,3.75274821137957,-5.54554895881803,2.93033324098717e-08,1.24232763877432e-05
"ENSG00000232536",0.980250713247963,-20.8546117282494,3.76050771255769,-5.54569045520325,2.92796426132448e-08,1.24232763877432e-05
"ENSG00000163380",1.90726179824798,-20.8392008929445,3.76108579463507,-5.54074063470454,3.01195039942936e-08,1.24232763877432e-05
"ENSG00000112293",0.822210652173703,-20.7500205705217,3.74014741832821,-5.54791516207045,2.89096085420138e-08,1.24232763877432e-05
"ENSG00000270604",0.929454471613125,-20.8055533181706,3.75532589788483,-5.54027902874934,3.01990079269299e-08,1.24232763877432e-05
"ENSG00000201376",1.53230980930897,-20.801367676037,3.75179281699623,-5.54438069762367,2.94996385122005e-08,1.24232763877432e-05
"ENSG00000277452",1.50919751718821,-20.772181368653,3.7519750937379,-5.53633242483992,3.08871078188206e-08,1.25298700718349e-05
"ENSG00000247925",1.75649158505967,-20.7692689693774,3.75465562245472,-5.53160424225508,3.17315195578132e-08,1.26960852499261e-05
