"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8957275","Post-translational protein phosphorylation","15/455","75/8526",0.2,3.74769230769231,5.67458227615233,7.60145594422192e-06,0.000326862605601543,0.000326862605601543,"TMEM132A/MFGE8/MXRA8/APOE/CCN1/SDC2/C3/IGFBP5/FBN1/IGFBP7/FSTL1/IGFBP4/LTBP1/IL6/TIMP1",15
"R-HSA-186797","Signaling by PDGF","12/455","51/8526",0.235294117647059,4.40904977375566,5.79746045955936,1.09045272002635e-05,0.000451528200366468,0.000451528200366468,"PLAT/COL5A2/HRAS/COL4A2/COL4A1/COL6A1/COL4A5/COL6A2/FURIN/THBS1/PDGFRA/COL3A1",12
"R-HSA-3000157","Laminin interactions","9/455","29/8526",0.310344827586207,5.81538461538462,6.16717666250961,1.24648541774971e-05,0.000497703820372918,0.000497703820372918,"LAMA2/COL4A6/COL7A1/COL4A2/COL4A1/COL4A5/ITGA2/LAMA4/LAMA1",9
"R-HSA-2243919","Crosslinking of collagen fibrils","7/455","17/8526",0.411764705882353,7.7158371040724,6.58073755190483,1.43457866749289e-05,0.000553054810433467,0.000553054810433467,"COL4A6/COL4A2/COL4A1/COL4A5/COL1A1/PXDN/COL1A2",7
"R-HSA-977225","Amyloid fiber formation","13/455","63/8526",0.206349206349206,3.86666666666667,5.4221873483271,2.16284777656043e-05,0.000801903251255999,0.000801903251255999,"H4C8/H2BC5/MFGE8/SAA1/APOE/H4C9/H2AC6/H2BC12/H3C6/TGFBI/H2BC11/FURIN/APH1B",13
"R-HSA-397014","Muscle contraction","19/455","122/8526",0.155737704918033,2.91828499369483,5.06686392854949,2.22352422083506e-05,0.000801903251255999,0.000801903251255999,"KCNJ2/MYL9/ACTG2/CACNA1C/TPM2/ACTA2/CACNA1H/SCN9A/TCAP/GUCY1B1/FGF13/ITGB5/DMPK/SCN2A/KCNK12/SORBS1/CALD1/ATP2A3/KCNE5",19
"R-HSA-1592389","Activation of Matrix Metalloproteinases","7/455","20/8526",0.35,6.55846153846154,5.90875703077855,4.97015088901263e-05,0.00168646937654374,0.00168646937654374,"MMP14/MMP1/CTSK/MMP3/FURIN/MMP10/TIMP1",7
"R-HSA-917937","Iron uptake and transport","11/455","50/8526",0.22,4.12246153846154,5.25745839078391,4.97795075366222e-05,0.00168646937654374,0.00168646937654374,"ATP6V1B2/FTH1/FTL/HMOX1/SLC22A17/ATP6V0E1/MCOLN1/ATP6V1E1/CYBRD1/STEAP4/ATP6V0A1",11
"R-HSA-9764725","Negative Regulation of CDH1 Gene Transcription","12/455","60/8526",0.2,3.74769230769231,5.0710023235005,6.2008647614189e-05,0.0020389902362548,0.0020389902362548,"H4C8/H2BC5/ZEB1/MCRIP1/SNAI2/TWIST1/H4C9/H2AC6/H2BC12/H3C6/ZEB2/H2BC11",12
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","12/455","61/8526",0.19672131147541,3.68625472887768,4.99905422762133,7.35304994041024e-05,0.00234877423810819,0.00234877423810819,"FGF2/GAB2/BDNF/NRG1/FGF7/HGF/AREG/LCK/VAV1/FGFR1/EREG/PDGFRA",12
