"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030574","collagen catabolic process","11/641","33/12837",0.333333333333333,6.67550702028081,7.48383085943296,3.1232154172106e-07,2.86572365725835e-05,1.99467863198432e-05,"CTSL/MRC2/MMP14/MMP1/FAP/CTSK/MMP12/MMP3/FURIN/CTSB/MMP10",11
"GO:1903318","negative regulation of protein maturation","8/641","16/12837",0.5,10.0132605304212,8.27020218376735,3.33501848214216e-07,2.99354158973152e-05,2.08364593280653e-05,"PLAT/LRRK2/PLAU/MDM2/FURIN/GAS1/THBS1/PRNP",8
"GO:0008285","negative regulation of cell population proliferation","49/641","460/12837",0.106521739130435,2.13325985213322,5.67460824627726,4.04638507409482e-07,3.55479233424202e-05,2.47430288412313e-05,"ADAMTS1/SCRIB/PODN/IGFBP6/MCC/FTH1/FBXW7/SIRT2/DAB2/CDKN2B/KANK2/TMEM127/GREM1/HMOX1/ADORA1/SLC4A2/APOE/IL33/MEF2C/SNAI2/CCL2/FRZB/LDOC1/H2AC6/SPARC/GSDME/CXCL8/BMP2/CNN1/HRAS/CEBPB/FAP/ATOH8/FBLN1/IGFBP5/TP53INP1/TWSG1/IL6ST/IGFBP7/INHBA/PPM1D/THBS1/EREG/RGS5/PRNP/IL6/CDKN1A/WNT5A/IL1B",49
"GO:0150076","neuroinflammatory response","14/641","56/12837",0.25,5.00663026521061,6.88852159889833,4.29622146021702e-07,3.69564550192419e-05,2.57234332256921e-05,"CLU/LRRK2/IL33/IFNGR1/PTGS2/GRN/SYT11/ZEB2/SPHK1/MMP3/NR3C1/LRP1/IL6/IL1B",14
"GO:0071396","cellular response to lipid","47/641","436/12837",0.107798165137615,2.15882222444861,5.64373830524707,4.98398348164243e-07,4.19976893789828e-05,2.92323697662868e-05,"SIRPA/AXL/PDE3A/DAB2/KANK2/AKR1C2/IL18RAP/MEF2C/SNAI2/CXCL6/CD36/CYP26B1/PLCB1/HAND2/CCL2/PDK4/VPS18/LDOC1/CSF3/CXCL8/MAP4K1/CACTIN/CEBPB/LBH/GNAI1/CASP1/NFKBIB/TCF21/LPAR1/ITGA2/IGFBP7/INHBA/TFPI/EDNRB/TBX2/LY96/CD4/MMP3/COL1A1/NR3C1/CYBA/STC1/AKR1C1/PRKD1/IL6/WNT5A/IL1B",47
"GO:0090287","regulation of cellular response to growth factor stimulus","30/641","220/12837",0.136363636363636,2.73088923556942,5.93659917042719,5.14050458158322e-07,4.20978367829481e-05,2.9302077076073e-05,"FGF2/DCN/CDKN2B/GREM1/FOXD1/FST/TMEM204/DKK3/CCN1/GPC1/GREM2/PPM1A/BMP2/SAP30L/TNFAIP6/MICOS10-NBL1/ZEB2/JCAD/NRP1/TWSG1/FBN1/FSTL1/NBL1/GDF15/FBN2/CITED2/VASN/THBS1/EMILIN1/IL1B",30
"GO:0008015","blood circulation","36/641","293/12837",0.122866894197952,2.46059644433559,5.79803973991734,5.1997812446848e-07,4.20978367829481e-05,2.9302077076073e-05,"PTGS1/CACNA2D1/KCNJ2/PDE3A/RGS4/ADORA1/CACNA1C/APOE/CACNA1H/SCN9A/TCAP/GUCY1B1/FGF13/PTGS2/FERMT2/DMPK/ADM/UCN/SCN2A/RGS2/KCNMA1/ZEB2/SVEP1/FBN1/EDNRB/TEK/TBX2/ATP2A3/COL1A2/GJA1/CYBA/STC1/EMILIN1/TRPA1/RARRES2/KCNE5",36
"GO:0071559","response to transforming growth factor beta","29/641","209/12837",0.138755980861244,2.77879957303555,5.94385264337383,5.50697035776408e-07,4.3727462706169e-05,3.04363734688683e-05,"PDE3A/DAB2/CDKN2B/MEF2C/DKK3/ACTA2/PPM1A/BMP2/ITGB5/FERMT2/LTBP3/SAP30L/DDR2/COL4A2/ZEB2/TWSG1/FBN1/GDF15/FBN2/CITED2/COL1A1/VASN/FURIN/NR3C1/COL1A2/THBS1/EMILIN1/COL3A1/WNT5A",29
"GO:0002686","negative regulation of leukocyte migration","11/641","36/12837",0.305555555555556,6.11921476859074,7.05127760237798,8.45175594548646e-07,6.58439628281388e-05,4.58304991710573e-05,"GREM1/HMOX1/IL33/PLCB1/CCL2/IL27RA/TNFAIP6/MICOS10-NBL1/NBL1/GDF15/EMILIN1",11
"GO:0001649","osteoblast differentiation","24/641","159/12837",0.150943396226415,3.02287110352339,5.88405278628186,1.13965830265481e-06,8.71416505863278e-05,6.06546929045788e-05,"IGFBP2/GREM1/MEF2C/SNAI2/TWIST1/CCN1/HGF/MRC2/BCAP29/BMP2/AREG/FERMT2/FZD1/DNAI3/DDR2/TNFAIP6/CCN2/IGFBP5/COL6A1/IL6ST/FBN2/COL1A1/PRKD1/IL6",24
