"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSG00000259418",1.55114505403922,-22.0018911632457,3.75312003756698,-5.86229348995422,4.56517196168024e-09,5.93107141261497e-06,TRUE,"Down"
"ENSG00000237921",1.40117184095205,-21.7411000159197,3.70037072612447,-5.87538428580369,4.2186356188535e-09,5.93107141261497e-06,TRUE,"Down"
"ENSG00000123329",1.82816065616579,19.9851284642578,3.42235703379891,5.83958022698578,5.23325114110978e-09,6.15701272399776e-06,TRUE,"Up"
"ENSG00000257900",1.38637638500629,-21.4025192142661,3.66655776430665,-5.83722406411162,5.30776958965324e-09,6.15701272399776e-06,TRUE,"Down"
"ENSG00000213275",1.23180369459932,-21.8697395324839,3.74308191917033,-5.84270929804588,5.13585972253371e-09,6.15701272399776e-06,TRUE,"Down"
"ENSG00000252496",1.29522964805075,-21.8706098582353,3.75615288908132,-5.82260906413329,5.7935967282637e-09,6.48882833565534e-06,TRUE,"Down"
"ENSG00000255358",2.56050673223233,16.3019072924439,2.81447081526541,5.79217492824013,6.94807183918083e-09,6.83858707080586e-06,TRUE,"Up"
"ENSG00000265118",1.36672427450889,-21.7858977225589,3.75297270133716,-5.80497100732887,6.43771425934011e-09,6.83858707080586e-06,TRUE,"Down"
"ENSG00000261247",1.11731663577473,-21.7139408012868,3.74606205842288,-5.79647119098408,6.77248123160926e-09,6.83858707080586e-06,TRUE,"Down"
"ENSG00000271482",1.1060743916864,-21.678479440081,3.74011760452825,-5.79620261508205,6.783330440019e-09,6.83858707080586e-06,TRUE,"Down"
"ENSG00000253404",1.38248195927776,-21.6201731238799,3.7600417477973,-5.74998220074162,8.92528448731726e-09,8.52627176906073e-06,TRUE,"Down"
"ENSG00000285918",1.6736295734479,-21.5961674308285,3.76371991719983,-5.73798473476631,9.5809749188419e-09,8.64416848233292e-06,TRUE,"Down"
"ENSG00000252157",1.48097360489263,-21.6088310485717,3.76423702760283,-5.74056067407976,9.43636036170419e-09,8.64416848233292e-06,TRUE,"Down"
"ENSG00000187753",1.28608896942541,-21.5287193406778,3.75564650511927,-5.73236041020695,9.90425373655865e-09,8.69432868549797e-06,TRUE,"Down"
"ENSG00000165188",701.216950762784,-1.39918478486735,0.245625254771197,-5.69642069652287,1.22348760985659e-08,9.58748507108731e-06,TRUE,"Down"
"ENSG00000169083",1.27104416328147,-21.3882598134137,3.75936584086462,-5.68932652973583,1.27541379185353e-08,9.58748507108731e-06,TRUE,"Down"
"ENSG00000251201",2.03583170892767,-17.101460643811,3.00111251578283,-5.69837370437612,1.20955687368456e-08,9.58748507108731e-06,TRUE,"Down"
"ENSG00000252218",1.62079932142715,20.0858240597498,3.53236653081979,5.68622307014337,1.29879723869409e-08,9.58748507108731e-06,TRUE,"Up"
"ENSG00000188626",0.94281974176642,-21.3354666055842,3.74318983433095,-5.69980886619863,1.19941828338244e-08,9.58748507108731e-06,TRUE,"Down"
"ENSG00000274805",1.79649430061606,19.5334049899225,3.4209485232373,5.70993829846867,1.13017139378521e-08,9.58748507108731e-06,TRUE,"Up"
"ENSG00000278090",0.990600277494966,-21.3778639608159,3.75790332663142,-5.68877432511788,1.27954432211038e-08,9.58748507108731e-06,TRUE,"Down"
"ENSG00000254042",0.849050769428056,-21.2448734092834,3.74140746171905,-5.67831053598264,1.36031593321179e-08,9.8184581134931e-06,TRUE,"Down"
"ENSG00000256312",1.22562296810708,-21.2669624965797,3.75486532868305,-5.66384161214077,1.48021046281647e-08,1.04515730070171e-05,TRUE,"Down"
"ENSG00000124835",1.02741455207361,-21.1326094090457,3.73786811030811,-5.65365304109239,1.57073125000735e-08,1.08547555319657e-05,TRUE,"Down"
"ENSG00000124232",0.914363674400496,-21.1767189510756,3.75939520964477,-5.63301216555963,1.77088960719661e-08,1.15036988883492e-05,TRUE,"Down"
"ENSG00000254101",0.978671859775505,-21.1677652508688,3.75612142035107,-5.63553806758737,1.74512587542622e-08,1.15036988883492e-05,TRUE,"Down"
"ENSG00000244380",1.17847412331873,-21.1853226007534,3.75824727068679,-5.63702201448865,1.73016002111201e-08,1.15036988883492e-05,TRUE,"Down"
