"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSG00000253893",0.811170329759641,-20.8076752661481,3.76585337577458,-5.52535459824383,3.28820803533109e-08,6.88386739074009e-05,TRUE,"Down"
"ENSG00000285973",0.80165017408537,-20.2561792390934,3.71094936459178,-5.45848979572958,4.80201456777312e-08,8.30327312855393e-05,TRUE,"Down"
"ENSG00000236776",0.994661755228157,18.7977567129171,3.46471909291874,5.42547785514166,5.77996959998464e-08,8.30327312855393e-05,TRUE,"Up"
"ENSG00000232768",0.611916321667483,-20.4486213851956,3.76713892433411,-5.42815696365912,5.69389551326941e-08,8.30327312855393e-05,TRUE,"Down"
"ENSG00000251389",0.690403775017276,-20.4740172595238,3.76243850722533,-5.44168820838023,5.27779919219376e-08,8.30327312855393e-05,TRUE,"Down"
"ENSG00000285427",0.688150186517131,-20.4165091930651,3.76270336078617,-5.42602146261122,5.762403301541e-08,8.30327312855393e-05,TRUE,"Down"
"ENSG00000272647",0.98092788202806,18.8586664391786,3.47272928871433,5.43050289018077,5.6195469296322e-08,8.30327312855393e-05,TRUE,"Up"
"ENSG00000206791",0.611916321667483,-20.4486213851956,3.76713892433411,-5.42815696365912,5.69389551326941e-08,8.30327312855393e-05,TRUE,"Down"
"ENSG00000279620",0.841556257816203,-20.265438583954,3.76180118136174,-5.38716365031765,7.15782559361935e-08,9.88715955266328e-05,TRUE,"Down"
"ENSG00000276727",1.93549878951847,16.5241130174805,3.07275569220666,5.37762017962902,7.5476831345326e-08,0.000100395367442075,TRUE,"Up"
"ENSG00000235537",0.632762487567658,-20.228980117473,3.76863008196773,-5.36772770940437,7.97348078678342e-08,0.000102271281777336,TRUE,"Down"
"ENSG00000096264",0.52668371621798,-20.1484374746389,3.76921218814652,-5.34553017153081,9.01527784854956e-08,0.000111646444363038,TRUE,"Down"
"ENSG00000201239",0.591197103504785,-20.0015370667511,3.75207817603138,-5.33078899968628,9.77869822784298e-08,0.000117064056051584,TRUE,"Down"
"ENSG00000284883",0.559314432027426,-20.0340301718229,3.76907213344836,-5.31537457031728,1.0643814740852e-07,0.000123310310517084,TRUE,"Down"
"ENSG00000212342",0.788517505055444,-19.8765771054481,3.76058150546814,-5.28550626453548,1.25357582538655e-07,0.000140690381852914,TRUE,"Down"
"ENSG00000229835",0.82930261457317,-19.8253114045509,3.75814524859637,-5.27529142519319,1.32545285167139e-07,0.000144249435499777,TRUE,"Down"
"ENSG00000275345",0.4398787750382,-19.7295633217559,3.7773765694151,-5.22308617083703,1.75965452305568e-07,0.000185871272179475,TRUE,"Down"
"ENSG00000239641",0.420308958108214,-19.5835077432985,3.77110404167596,-5.1930436092119,2.06883699828412e-07,0.00021228631987536,TRUE,"Down"
"ENSG00000271986",0.468679969797919,-19.5742278526117,3.77790252284419,-5.18124216658594,2.20413107303072e-07,0.00021988656488007,TRUE,"Down"
"ENSG00000224189",0.697883042825936,-19.4562925994191,3.76220328398434,-5.17151550056967,2.32203006439303e-07,0.000223296690946263,TRUE,"Down"
"ENSG00000248633",0.55427815689801,-19.5225042769816,3.77737450063462,-5.16827343269821,2.36266477027287e-07,0.000223296690946263,TRUE,"Down"
"ENSG00000267375",0.388083065512633,-19.4753753166913,3.78001736318867,-5.15219202598125,2.57459206478202e-07,0.000236247687651472,TRUE,"Down"
"ENSG00000149575",0.427356342328301,-19.4000841883358,3.77178627144949,-5.14347388535364,2.69704159762498e-07,0.000236247687651472,TRUE,"Down"
"ENSG00000276474",0.427356342328301,-19.4000841883358,3.77178627144949,-5.14347388535364,2.69704159762498e-07,0.000236247687651472,TRUE,"Down"
"ENSG00000271214",0.546497922797132,-19.2919114368998,3.76517303277581,-5.12377818202877,2.99473271919156e-07,0.000256078168754871,TRUE,"Down"
"ENSG00000244227",1.08363528285701,-19.2004696661609,3.75469694609091,-5.11372021279931,3.15875120314881e-07,0.000257825887977015,TRUE,"Down"
"ENSG00000249609",0.840765251984069,-19.2199537597849,3.75777315022726,-5.11471900815048,3.1420834007754e-07,0.000257825887977015,TRUE,"Down"
"ENSG00000213642",1.0649835689361,15.7137126127998,3.11527680408224,5.04408230825866,4.55703120890553e-07,0.00036369159741474,TRUE,"Up"
"ENSG00000260989",0.726355604343934,18.6626277545843,3.73385759545303,4.9982162622675,5.78630698418304e-07,0.000451759628325978,TRUE,"Up"
"ENSG00000254602",1.47255831119763,15.5248112115705,3.13536448874679,4.95151720550862,7.36371077765805e-07,0.000562681508231513,TRUE,"Up"
"ENSG00000202429",0.707793671330938,-18.5240787977327,3.76581203449304,-4.91901311803694,8.69816408017059e-07,0.000631949345988032,TRUE,"Down"
"ENSG00000250645",1.24704893218136,-16.0748830503049,3.2703275934124,-4.91537394684417,8.86131520743271e-07,0.000631949345988032,TRUE,"Down"
"ENSG00000281491",0.744961570204435,-18.4665115566171,3.75878274373115,-4.91289675824316,8.9740537521272e-07,0.000631949345988032,TRUE,"Down"
